"xh"	"sgdm"	"zqdm"	"name"	"wsfxr"	"ssr"	"fxl"	"wsfxl"	"sgsx"	"fxj"	"syl"	"zql"
"193"	"780615"	"601615"	"明阳智能"	"2019-01-11"	"2019-01-23"	"27,590"	"24,831"	"8.20"	"4.75"	"22.96"	"--"
"148"	"300781"	"300781"	"因赛集团"	"2019-05-28"	"2019-06-06"	"2,114"	"1,903"	"0.80"	"16.53"	"22.98"	"--"
"194"	"732700"	"603700"	"宁波水表"	"2019-01-10"	"2019-01-22"	"3,909"	"3,518"	"1.50"	"16.63"	"22.98"	"--"
"149"	"300780"	"300780"	"德恩精工"	"2019-05-22"	"2019-05-31"	"3,667"	"3,300"	"1.45"	"11.58"	"22.98"	"--"
"195"	"780298"	"601298"	"青岛港"	"2019-01-09"	"2019-01-21"	"45,438"	"40,894"	"13.60"	"4.61"	"10.51"	"--"
"150"	"300779"	"300779"	"惠城环保"	"2019-05-13"	"2019-05-22"	"2,500"	"2,250"	"1.00"	"13.59"	"22.98"	"--"
"196"	"002945"	"002945"	"华林证券"	"2019-01-08"	"2019-01-17"	"27,000"	"24,300"	"8.10"	"3.62"	"22.98"	"--"
"197"	"732332"	"603332"	"苏州龙杰"	"2019-01-04"	"2019-01-17"	"2,974"	"2,676"	"1.10"	"19.44"	"18.94"	"--"
"198"	"002948"	"002948"	"青岛银行"	"2019-01-04"	"2019-01-16"	"45,098"	"40,588"	"13.50"	"4.52"	"10.81"	"--"
"199"	"732739"	"603739"	"蔚蓝生物"	"2019-01-03"	"2019-01-16"	"3,867"	"3,481"	"1.40"	"10.19"	"22.98"	"--"
