"xh"	"sgdm"	"zqdm"	"name"	"wsfxr"	"ssr"	"fxl"	"wsfxl"	"sgsx"	"fxj"	"syl"	"zql"
"154"	"002955"	"002955"	"鸿合科技"	"2019-05-10"	"2019-05-23"	"3,431"	"3,088"	"1.35"	"52.41"	"22.98"	"--"
"65"	"732610"	"603610"	"麒盛科技"	"2019-10-17"	"2019-10-29"	"3,758"	"3,383"	"1.50"	"44.66"	"22.98"	"--"
"109"	"787022"	"688022"	"瀚川智能"	"2019-07-12"	"2019-07-22"	"2,700"	"1,026"	"0.75"	"25.79"	"44.35"	"--"
"24"	"300809"	"300809"	"华辰装备"	"2019-11-21"	"2019-12-04"	"3,923"	"3,531"	"1.55"	"18.77"	"22.98"	"--"
"155"	"300776"	"300776"	"帝尔激光"	"2019-05-07"	"2019-05-17"	"1,654"	"1,654"	"1.60"	"57.71"	"22.98"	"--"
"66"	"002965"	"002965"	"祥鑫科技"	"2019-10-16"	"2019-10-25"	"3,768"	"3,391"	"1.50"	"19.89"	"21.28"	"--"
"110"	"787033"	"688033"	"天宜上佳"	"2019-07-12"	"2019-07-22"	"4,788"	"1,369"	"0.90"	"20.37"	"35.32"	"--"
"25"	"300810"	"300810"	"中科海讯"	"2019-11-21"	"2019-12-06"	"1,970"	"1,970"	"1.95"	"24.60"	"22.94"	"--"
"156"	"300777"	"300777"	"中简科技"	"2019-05-06"	"2019-05-16"	"4,001"	"3,601"	"1.10"	"6.06"	"22.98"	"--"
"67"	"787098"	"688098"	"申联生物"	"2019-10-16"	"2019-10-28"	"5,000"	"1,425"	"0.95"	"8.80"	"43.86"	"--"
"111"	"787028"	"688028"	"沃尔德"	"2019-07-12"	"2019-07-22"	"2,000"	"760"	"0.55"	"26.68"	"34.11"	"--"
"26"	"002968"	"002968"	"新大正"	"2019-11-20"	"2019-12-03"	"1,791"	"1,791"	"1.75"	"26.76"	"22.98"	"--"
"157"	"732267"	"603267"	"鸿远电子"	"2019-04-30"	"2019-05-15"	"4,134"	"3,721"	"1.60"	"20.24"	"16.5"	"--"
"68"	"787139"	"688139"	"海尔生物"	"2019-10-16"	"2019-10-25"	"7,927"	"3,020"	"2.25"	"15.53"	"89.04"	"--"
